app_id,name,playtime_minutes,playtime_hours,user_score,total_reviews,review_score_desc,release_date,genres,categories,price,image_url,release_year
220,Half-Life 2,220,3.7,0.973578157271674,79404,Overwhelmingly Positive,2004-11-16,Action,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Remote Play Together, Family Sharing, Steam Timeline","9,75€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220/header.jpg?t=1737139959,2004.0
320,Half-Life 2: Deathmatch,36,0.6,0.8994192799070848,4305,Very Positive,2004-11-01,Action,"Multi-player, Valve Anti-Cheat enabled, Includes Source SDK, Family Sharing",N/A,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/320/header.jpg?t=1733191571,2004.0
360,Half-Life Deathmatch: Source,0,0.0,0.7480181200453001,1766,Mostly Positive,2006-05-01,Action,"Multi-player, Valve Anti-Cheat enabled, Family Sharing","9,75€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/360/header.jpg?t=1729701752,2006.0
4000,Garry's Mod,1972,32.9,0.9701264771950385,491472,Overwhelmingly Positive,2006-11-29,"Casual, Indie, Simulation","Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Valve Anti-Cheat enabled, Includes level editor, Includes Source SDK, Remote Play on Tablet, Family Sharing","5,99€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/4000/header.jpg?t=1736937068,2006.0
7000,Tomb Raider: Legend,0,0.0,0.8640674394099052,1898,Very Positive,2007-03-29,"Action, Adventure","Single-player, Full controller support, Family Sharing","0,97€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/7000/header.jpg?t=1729009388,2007.0
8000,Tomb Raider: Anniversary,567,9.4,0.8008298755186722,2410,Very Positive,2007-06-05,"Action, Adventure","Single-player, Full controller support, Family Sharing","0,98€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/8000/header.jpg?t=1729009457,2007.0
400,Portal,238,4.0,0.9864462809917356,72600,Overwhelmingly Positive,2007-10-10,Action,"Single-player, Steam Achievements, Full controller support, Captions available, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Family Sharing","9,75€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/400/header.jpg?t=1738796058,2007.0
8600,RACE 07,201,3.4,0.9059500959692899,521,Very Positive,2007-10-15,Racing,"Single-player, Multi-player, Family Sharing","7,79€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/8600/header.jpg?t=1478078194,2007.0
44630,RACE 07 - Formula RaceRoom Add-On,0,0.0,,0,Nessuna recensione,,,,,,
2590,Alpha Prime,98,1.6,0.5991091314031181,449,Mixed,2007-11-07,Action,"Single-player, Family Sharing","4,99€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2590/header.jpg?t=1582120844,2007.0
12900,Audiosurf,267,4.5,0.955308190729357,6019,Overwhelmingly Positive,2008-02-15,Indie,"Single-player, Co-op, Steam Achievements, Full controller support, Family Sharing","9,75€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/12900/header.jpg?t=1568404797,2008.0
22300,Fallout 3,1177,19.6,0.7975111887348543,9161,Mostly Positive,2008-10-28,RPG,"Single-player, Partial Controller Support","9,99€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/22300/header.jpg?t=1732208474,2008.0
8140,Tomb Raider: Underworld,0,0.0,0.7381930184804928,1948,Mostly Positive,2008-11-21,"Action, Adventure","Single-player, Full controller support, Family Sharing",$0.49 USD,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/8140/header.jpg?t=1729009496,2008.0
17390,Spore,87,1.4,0.9240628284479738,34252,Very Positive,2008-12-19,"Action, Adventure, Casual, RPG, Simulation, Strategy","Single-player, Steam Trading Cards, Family Sharing","19,99€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/17390/header.jpg?t=1642702281,2008.0
17470,Dead Space (2008),0,0.0,0.908178536843032,11359,Very Positive,2009-01-09,"Action, Adventure","Single-player, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","19,99€",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/17470/header.jpg?t=1664889864,2009.0
